time,open,high,low,close,volume,spread
2026-06-14T06:21:14.999Z,1.27,1.27149,1.26849,1.27072,1658,2
2026-06-14T06:26:14.999Z,1.2706,1.27148,1.27012,1.27094,1878,2
2026-06-14T06:31:14.999Z,1.27098,1.27212,1.27006,1.2713,1385,2
2026-06-14T06:36:14.999Z,1.27123,1.27259,1.27054,1.27209,1998,2
2026-06-14T06:41:14.999Z,1.27215,1.27316,1.27194,1.27291,1701,2
2026-06-14T06:46:14.999Z,1.27302,1.2732,1.27267,1.27281,1756,2
2026-06-14T06:51:14.999Z,1.27273,1.27316,1.27246,1.27285,1500,2
2026-06-14T06:56:14.999Z,1.27282,1.27289,1.27245,1.27277,1684,2
2026-06-14T07:01:14.999Z,1.27273,1.27385,1.27115,1.2718,2028,2
2026-06-14T07:06:14.999Z,1.27171,1.27207,1.27109,1.27145,1055,2
2026-06-14T07:11:14.999Z,1.27152,1.27225,1.27026,1.27091,1774,2
2026-06-14T07:16:14.999Z,1.27103,1.27153,1.27051,1.27072,1738,2
2026-06-14T07:21:14.999Z,1.27079,1.27096,1.27058,1.27067,1748,2
2026-06-14T07:26:14.999Z,1.27055,1.27098,1.27043,1.27087,1154,2
2026-06-14T07:31:14.999Z,1.27076,1.27118,1.26916,1.27022,1516,2
2026-06-14T07:36:14.999Z,1.27022,1.27175,1.26973,1.27087,1498,2
2026-06-14T07:41:14.999Z,1.27094,1.27125,1.2707,1.27092,1143,2
2026-06-14T07:46:14.999Z,1.27095,1.2731,1.27045,1.27196,2159,2
2026-06-14T07:51:14.999Z,1.27202,1.27263,1.27126,1.27177,1722,2
2026-06-14T07:56:14.999Z,1.27176,1.2729,1.27044,1.27233,1710,2
2026-06-14T08:01:14.999Z,1.27221,1.27345,1.26944,1.27116,1847,2
2026-06-14T08:06:14.999Z,1.27108,1.27332,1.27012,1.27234,2137,2
2026-06-14T08:11:14.999Z,1.2723,1.27427,1.2685,1.27051,1878,2
2026-06-14T08:16:14.999Z,1.27041,1.27096,1.26981,1.27005,1392,2
2026-06-14T08:21:14.999Z,1.27001,1.27055,1.26898,1.26926,1650,2
2026-06-14T08:26:14.999Z,1.26921,1.2704,1.26887,1.26993,1310,2
2026-06-14T08:31:14.999Z,1.26986,1.27255,1.26951,1.27189,2202,2
2026-06-14T08:36:14.999Z,1.27194,1.27383,1.27029,1.27089,2155,2
2026-06-14T08:41:14.999Z,1.27092,1.27167,1.26966,1.27009,1516,2
2026-06-14T08:46:14.999Z,1.27008,1.27116,1.26425,1.26779,1897,2
2026-06-14T08:51:14.999Z,1.26784,1.27086,1.26652,1.26875,1504,2
2026-06-14T08:56:14.999Z,1.26867,1.26902,1.26859,1.26876,1762,2
2026-06-14T09:01:14.999Z,1.26882,1.27383,1.26449,1.27067,2393,2
2026-06-14T09:06:14.999Z,1.27057,1.27403,1.26918,1.27233,2243,2
2026-06-14T09:11:14.999Z,1.27238,1.27263,1.27078,1.27136,1285,2
2026-06-14T09:16:14.999Z,1.27142,1.27156,1.27121,1.27147,1205,2
2026-06-14T09:21:14.999Z,1.27147,1.27208,1.2702,1.271,1768,2
2026-06-14T09:26:14.999Z,1.27104,1.27137,1.27072,1.2712,1104,2
2026-06-14T09:31:14.999Z,1.27112,1.27345,1.27023,1.27256,2311,2
2026-06-14T09:36:14.999Z,1.27267,1.27289,1.27151,1.27193,1301,2
2026-06-14T09:41:14.999Z,1.27192,1.27252,1.27106,1.2715,1028,2
2026-06-14T09:46:14.999Z,1.27148,1.27742,1.26538,1.26946,2325,2
