time,open,high,low,close,volume,spread
2026-06-14T06:21:14.917Z,2340,2340.26,2339.36,2339.93,1091,24
2026-06-14T06:26:14.917Z,2339.71,2341.17,2336.09,2338.07,1493,24
2026-06-14T06:31:14.917Z,2338.17,2339.6,2334.88,2336.18,1324,24
2026-06-14T06:36:14.917Z,2336.16,2337.44,2335.68,2336.9,1251,24
2026-06-14T06:41:14.917Z,2336.75,2338.08,2334.41,2335.35,1416,24
2026-06-14T06:46:14.917Z,2335.3,2339.23,2334.2,2337.85,1711,24
2026-06-14T06:51:14.917Z,2337.89,2338.99,2336.18,2337.22,1594,24
2026-06-14T06:56:14.917Z,2337.08,2338.07,2334.98,2336.03,1737,24
2026-06-14T07:01:14.917Z,2335.85,2336.35,2335.11,2335.54,1717,24
2026-06-14T07:06:14.917Z,2335.72,2336.73,2332.57,2334.11,1483,24
2026-06-14T07:11:14.917Z,2334.08,2335.32,2330.25,2332.25,1741,24
2026-06-14T07:16:14.917Z,2332.42,2333.41,2330.56,2331.88,1863,24
2026-06-14T07:21:14.917Z,2332,2332.97,2330.6,2331.35,1003,24
2026-06-14T07:26:14.917Z,2331.16,2332.37,2330.56,2331.89,1120,24
2026-06-14T07:31:14.917Z,2331.76,2332.64,2330.97,2332.21,1812,24
2026-06-14T07:36:14.917Z,2332.2,2338.93,2323.3,2336.02,2473,24
2026-06-14T07:41:14.917Z,2336.12,2338.1,2334.87,2337.42,1205,24
2026-06-14T07:46:14.917Z,2337.59,2338.14,2336.34,2336.89,1159,24
2026-06-14T07:51:14.917Z,2336.76,2337.53,2333.34,2335.19,1437,24
2026-06-14T07:56:14.917Z,2335.01,2338.97,2333.12,2336.67,1380,24
2026-06-14T08:01:14.917Z,2336.67,2337.17,2335.88,2336.08,1875,24
2026-06-14T08:06:14.917Z,2335.88,2336.51,2335.42,2336.23,1642,24
2026-06-14T08:11:14.917Z,2336.26,2337.44,2335.38,2336.76,1234,24
2026-06-14T08:16:14.917Z,2336.83,2340.94,2329.76,2333.4,2469,24
2026-06-14T08:21:14.917Z,2333.26,2335.87,2330.17,2334.5,1441,24
2026-06-14T08:26:14.917Z,2334.67,2336.68,2332.04,2332.77,2172,24
2026-06-14T08:31:14.917Z,2332.82,2338.98,2329.14,2334.69,2083,24
2026-06-14T08:36:14.917Z,2334.59,2334.75,2334.22,2334.5,930,24
2026-06-14T08:41:14.917Z,2334.47,2336.15,2333.08,2335.37,1373,24
2026-06-14T08:46:14.917Z,2335.48,2336.41,2333.15,2334.1,1427,24
2026-06-14T08:51:14.917Z,2334.14,2336.02,2331.14,2332.47,1694,24
