time,open,high,low,close,volume,spread
2026-06-14T06:21:15.042Z,0.60996,0.61034,0.6099,0.61024,1299,2
2026-06-14T06:26:15.042Z,0.61019,0.61031,0.61007,0.61019,1100,2
2026-06-14T06:31:15.042Z,0.61018,0.61022,0.61009,0.61016,1608,2
2026-06-14T06:36:15.042Z,0.61012,0.6104,0.60908,0.6096,1674,2
2026-06-14T06:41:15.042Z,0.60962,0.60967,0.60947,0.60962,915,2
2026-06-14T06:46:15.042Z,0.60964,0.61039,0.60892,0.60928,1844,2
2026-06-14T06:51:15.042Z,0.60934,0.6094,0.60924,0.60932,1459,2
2026-06-14T06:56:15.042Z,0.60934,0.61049,0.60868,0.60983,1894,2
2026-06-14T07:01:15.042Z,0.60979,0.61053,0.60921,0.61004,1390,2
2026-06-14T07:06:15.042Z,0.60998,0.6104,0.60983,0.61011,1813,2
2026-06-14T07:11:15.042Z,0.61009,0.61019,0.6097,0.60991,1759,2
2026-06-14T07:16:15.042Z,0.6099,0.61016,0.60983,0.61008,1454,2
2026-06-14T07:21:15.042Z,0.61011,0.61015,0.61003,0.61009,1643,2
2026-06-14T07:26:15.042Z,0.61009,0.6125,0.60874,0.61117,1939,2
2026-06-14T07:31:15.042Z,0.6112,0.61129,0.61095,0.61106,1702,2
2026-06-14T07:36:15.042Z,0.61101,0.6119,0.61077,0.61174,1523,2
2026-06-14T07:41:15.042Z,0.61171,0.61204,0.61158,0.61193,1645,2
2026-06-14T07:46:15.042Z,0.61191,0.61215,0.61155,0.61166,1673,2
2026-06-14T07:51:15.042Z,0.61164,0.6118,0.61152,0.61161,995,2
2026-06-14T07:56:15.042Z,0.61155,0.61184,0.6108,0.61106,1429,2
2026-06-14T08:01:15.042Z,0.61109,0.61194,0.61077,0.61146,1820,2
2026-06-14T08:06:15.042Z,0.61142,0.61206,0.61108,0.61175,1467,2
2026-06-14T08:11:15.042Z,0.6118,0.61371,0.61011,0.61105,1510,2
2026-06-14T08:16:15.042Z,0.61106,0.61161,0.60986,0.61052,1822,2
2026-06-14T08:21:15.042Z,0.61054,0.61079,0.60949,0.61017,1243,2
2026-06-14T08:26:15.042Z,0.61021,0.6117,0.60808,0.6092,1769,2
2026-06-14T08:31:15.042Z,0.60924,0.61019,0.60876,0.6098,1433,2
2026-06-14T08:36:15.042Z,0.60981,0.61009,0.6094,0.60952,1623,2
2026-06-14T08:41:15.042Z,0.60957,0.61065,0.60923,0.61021,1469,2
2026-06-14T08:46:15.042Z,0.61025,0.6113,0.61006,0.61071,2011,2
2026-06-14T08:51:15.042Z,0.61074,0.61135,0.60977,0.61034,1852,2
2026-06-14T08:56:15.042Z,0.61034,0.61061,0.6096,0.60997,1765,2
2026-06-14T09:01:15.042Z,0.60997,0.61012,0.60978,0.60986,1379,2
