time,open,high,low,close,volume,spread
2026-06-03T20:21:14.972Z,1.08011,1.0831,1.0773,1.08131,1339,2
2026-06-03T20:36:14.972Z,1.08139,1.0817,1.08115,1.08131,893,2
2026-06-03T20:51:14.972Z,1.08121,1.08345,1.07939,1.08191,1230,2
2026-06-03T21:06:14.972Z,1.08199,1.08538,1.07955,1.08315,1749,2
2026-06-03T21:21:14.972Z,1.08318,1.0848,1.08262,1.08392,1660,2
2026-06-03T21:36:14.972Z,1.08376,1.0851,1.08322,1.08445,1102,2
2026-06-03T21:51:14.972Z,1.08461,1.08563,1.08423,1.08518,1588,2
2026-06-03T22:06:14.972Z,1.08535,1.08576,1.08493,1.08542,1709,2
2026-06-03T22:21:14.972Z,1.08558,1.08614,1.08374,1.0848,1708,2
2026-06-03T22:36:14.972Z,1.08468,1.08571,1.08415,1.08525,1079,2
2026-06-03T22:51:14.972Z,1.08525,1.08669,1.083,1.08438,1408,2
2026-06-03T23:06:14.972Z,1.0845,1.08698,1.08146,1.08253,1877,2
2026-06-03T23:21:14.972Z,1.08258,1.08321,1.08226,1.08285,949,2
2026-06-03T23:36:14.972Z,1.08289,1.08336,1.08235,1.08278,1182,2
2026-06-03T23:51:14.972Z,1.08286,1.08746,1.08032,1.08464,1579,2
2026-06-04T00:06:14.972Z,1.08457,1.08802,1.08247,1.08617,1952,2
2026-06-04T00:21:14.972Z,1.08602,1.08672,1.08482,1.0854,1113,2
2026-06-04T00:36:14.972Z,1.08553,1.08676,1.08357,1.08473,1765,2
2026-06-04T00:51:14.972Z,1.08485,1.08533,1.08318,1.084,1456,2
2026-06-04T01:06:14.972Z,1.084,1.08482,1.08385,1.08438,1523,2
2026-06-04T01:21:14.972Z,1.08438,1.08733,1.08292,1.08609,2152,2
2026-06-04T01:36:14.972Z,1.086,1.08637,1.08524,1.08562,1168,2
2026-06-04T01:51:14.972Z,1.08549,1.08898,1.08426,1.08642,2001,2
2026-06-04T02:06:14.972Z,1.08645,1.0891,1.08522,1.08739,1485,2
2026-06-04T02:21:14.972Z,1.08724,1.08888,1.07974,1.08397,2345,2
